"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"4835","BOS","MIA","Not Started",1162,2,7,1,3,2,2,0,0,4,1,0,1,2,7,-3,"NoRookie","Win"
"4836","BOS","MIA","Not Started",1466,1,3,1,2,2,2,2,5,0,1,0,1,2,5,21,"NoRookie","Win"
"4838","MIA","BOS","Guard",1725,4,8,2,6,0,0,0,5,1,3,0,0,5,10,-4,"Rookie","Lose"
"4839","MIA","BOS","Guard",1579,3,11,2,7,0,0,0,2,4,1,0,4,2,8,-12,"Rookie","Lose"
"4840","MIA","BOS","Not Started",1223,2,8,1,4,0,0,0,1,1,0,1,1,1,5,-13,"Rookie","Lose"
"4841","MIA","BOS","Not Started",291,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1,"Rookie","Lose"
"4842","BOS","MIA","Forward",1070,0,0,0,0,2,2,0,3,2,0,0,1,4,2,1,"Rookie","Win"
"4843","BOS","MIA","Center",1596,3,5,0,1,2,4,2,8,2,1,3,1,2,8,24,"Rookie","Win"
"4844","BOS","MIA","Not Started",1156,1,3,0,0,1,2,4,6,0,0,1,0,2,3,-1,"Rookie","Win"
"4845","BOS","MIA","Not Started",428,0,0,0,0,0,0,0,2,1,0,0,0,1,0,-5,"Rookie","Win"
"4846","BOS","MIA","Not Started",1071,1,3,1,3,2,2,0,0,1,1,0,1,1,5,9,"Rookie","Win"
"4847","BOS","MIA","Not Started",84,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-2,"Rookie","Win"
"4848","BKN","ATL","Forward",1755,5,11,1,3,2,2,2,1,4,1,0,1,0,13,6,"NoRookie","Win"
"4849","BKN","ATL","Forward",1874,9,15,5,7,0,0,1,5,4,2,0,1,1,23,9,"NoRookie","Win"
"4850","BKN","ATL","Center",1735,8,11,0,0,4,4,7,6,2,2,3,1,3,20,6,"NoRookie","Win"
