"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"1","DAL","OKC","Forward",1881,1,8,1,3,3,4,1,1,1,0,1,2,4,6,-10,"NoRookie","Lose"
"2","DAL","OKC","Center",1752,3,5,0,1,5,6,2,2,2,2,1,0,1,11,-10,"NoRookie","Lose"
"3","DAL","OKC","Not Started",665,2,4,0,1,0,0,2,4,1,0,0,1,2,4,8,"NoRookie","Lose"
"4","DAL","OKC","Not Started",1583,3,13,3,10,0,0,2,2,1,1,1,0,5,9,-4,"NoRookie","Lose"
"5","DAL","OKC","Not Started",1019,2,8,2,6,2,2,0,4,2,1,0,0,0,8,3,"NoRookie","Lose"
"6","DAL","OKC","Not Started",1579,2,7,1,2,2,3,1,2,2,0,1,3,3,7,2,"NoRookie","Lose"
"9","OKC","DAL","Forward",1050,0,3,0,3,0,0,1,0,0,0,0,0,5,0,-3,"NoRookie","Win"
"10","OKC","DAL","Forward",1865,8,14,3,8,1,2,0,3,2,1,0,2,0,20,15,"NoRookie","Win"
"11","OKC","DAL","Center",1510,4,7,0,0,2,4,4,7,2,1,0,1,5,10,3,"NoRookie","Win"
"12","OKC","DAL","Guard",2139,7,15,1,2,2,2,1,7,7,1,0,4,2,17,17,"NoRookie","Win"
"13","OKC","DAL","Not Started",1370,5,9,0,0,2,4,8,4,0,1,2,0,1,12,2,"NoRookie","Win"
"14","OKC","DAL","Not Started",1869,7,17,2,7,4,4,2,5,4,0,0,3,2,20,5,"NoRookie","Win"
"15","OKC","DAL","Not Started",472,1,2,0,1,0,0,0,0,0,0,1,0,0,2,-3,"NoRookie","Win"
"17","DAL","OKC","Forward",2116,5,10,4,9,0,0,6,8,2,0,0,1,3,14,-8,"Rookie","Lose"
"18","DAL","OKC","Guard",1391,3,9,1,3,0,0,1,1,1,0,0,1,3,7,-7,"Rookie","Lose"
"19","DAL","OKC","Guard",2414,12,29,3,16,8,12,2,8,7,1,0,2,3,35,1,"Rookie","Lose"
"20","OKC","DAL","Guard",2111,6,15,0,2,7,8,2,8,3,2,1,0,1,19,4,"Rookie","Win"
"21","OKC","DAL","Not Started",1155,1,4,0,1,2,2,0,1,0,1,0,0,2,4,-6,"Rookie","Win"
"22","OKC","DAL","Not Started",739,0,5,0,3,2,2,0,3,0,0,1,1,1,2,-15,"Rookie","Win"
"23","OKC","DAL","Not Started",120,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,"Rookie","Win"
"24","GSW","SAS","Forward",2373,10,17,3,5,2,2,0,3,3,0,1,2,3,25,-3,"NoRookie","Lose"
"25","GSW","SAS","Forward",2148,4,11,2,6,0,0,0,10,9,1,1,2,2,10,0,"NoRookie","Lose"
"26","GSW","SAS","Center",2037,3,6,0,0,1,2,5,6,5,1,1,3,3,7,-1,"NoRookie","Lose"
"27","GSW","SAS","Guard",2373,8,13,2,3,2,2,1,6,2,0,0,0,0,20,-1,"NoRookie","Lose"
"28","GSW","SAS","Guard",2294,9,20,4,5,6,9,1,3,4,1,1,0,0,28,2,"NoRookie","Lose"
"30","SAS","GSW","Forward",2250,11,18,0,0,2,4,1,4,4,3,0,1,2,24,-4,"NoRookie","Win"
"31","SAS","GSW","Forward",2253,7,13,1,3,2,2,2,10,4,0,3,1,1,17,9,"NoRookie","Win"
"32","SAS","GSW","Center",902,1,5,0,1,3,3,0,3,1,0,0,0,1,5,2,"NoRookie","Win"
"33","SAS","GSW","Guard",1888,5,13,4,7,0,0,0,3,1,0,0,3,2,14,-6,"NoRookie","Win"
"34","SAS","GSW","Guard",1623,6,12,1,1,2,2,2,4,5,2,0,0,3,15,-7,"NoRookie","Win"
"35","SAS","GSW","Not Started",1959,6,14,5,11,1,2,1,3,4,1,0,0,3,18,19,"NoRookie","Win"
"36","SAS","GSW","Not Started",1154,1,3,0,2,1,2,1,3,2,0,0,2,1,3,1,"NoRookie","Win"
"37","SAS","GSW","Not Started",922,2,3,0,0,0,0,2,5,4,0,1,0,1,4,-5,"NoRookie","Win"
"38","SAS","GSW","Not Started",1578,2,7,1,2,2,2,0,6,4,0,1,1,0,7,9,"NoRookie","Win"
"39","SAS","GSW","Not Started",709,1,2,1,2,0,0,0,0,1,0,0,2,0,3,-1,"NoRookie","Win"
"41","GSW","SAS","Not Started",1267,4,9,0,2,1,1,1,2,3,1,0,0,1,9,1,"Rookie","Lose"
"42","GSW","SAS","Not Started",704,2,6,0,1,0,1,0,1,1,1,0,0,1,4,-3,"Rookie","Lose"
"43","GSW","SAS","Not Started",1068,1,4,0,1,1,1,0,0,3,0,0,1,1,3,-7,"Rookie","Lose"
"44","GSW","SAS","Not Started",612,3,6,1,2,0,0,1,2,1,0,1,0,2,7,-3,"Rookie","Lose"
"45","GSW","SAS","Not Started",1025,0,4,0,2,0,0,0,2,0,0,1,0,1,0,-5,"Rookie","Lose"
"46","SAS","GSW","Not Started",664,3,6,1,2,0,0,1,2,0,0,1,0,4,7,3,"Rookie","Win"
"48","DEN","HOU","Forward",1598,6,13,1,3,0,0,7,2,3,1,2,1,3,13,-4,"NoRookie","Lose"
"49","DEN","HOU","Center",1919,10,17,0,1,1,1,2,6,4,0,0,6,2,21,-5,"NoRookie","Lose"
"50","DEN","HOU","Guard",2229,5,16,0,3,0,1,2,7,7,1,2,1,4,10,-7,"NoRookie","Lose"
"51","DEN","HOU","Guard",1817,5,14,2,4,0,0,0,0,6,1,0,2,3,12,-9,"NoRookie","Lose"
"52","DEN","HOU","Not Started",1057,2,4,0,0,0,0,1,1,0,0,1,1,0,4,-15,"NoRookie","Lose"
"53","DEN","HOU","Not Started",1392,8,12,1,3,1,1,1,2,4,3,0,0,0,18,-24,"NoRookie","Lose"
"54","DEN","HOU","Not Started",1176,3,5,2,4,2,2,0,2,0,1,0,1,1,10,-25,"NoRookie","Lose"
"55","DEN","HOU","Not Started",736,1,5,0,0,2,4,0,0,1,0,0,2,1,4,-14,"NoRookie","Lose"
"56","DEN","HOU","Not Started",225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,"NoRookie","Lose"
"57","DEN","HOU","Not Started",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"NoRookie","Lose"
"58","HOU","DEN","Forward",1848,3,10,2,7,0,0,0,2,2,0,1,1,2,8,4,"NoRookie","Win"
"59","HOU","DEN","Forward",2033,0,1,0,1,0,0,3,5,2,0,1,0,1,0,11,"NoRookie","Win"
"60","HOU","DEN","Center",1796,7,12,0,0,2,4,3,7,0,3,0,0,1,16,5,"NoRookie","Win"
"61","HOU","DEN","Guard",2036,10,17,6,9,9,13,0,3,6,1,2,4,2,35,21,"NoRookie","Win"
"62","HOU","DEN","Guard",2029,11,22,0,2,6,6,1,2,7,1,1,3,4,28,16,"NoRookie","Win"
"63","HOU","DEN","Not Started",1560,4,7,3,5,1,2,0,1,1,0,1,2,1,12,20,"NoRookie","Win"
"64","HOU","DEN","Not Started",1056,3,7,3,7,0,0,1,2,0,0,0,1,1,9,19,"NoRookie","Win"
"65","HOU","DEN","Not Started",1084,6,8,0,0,4,6,5,7,0,1,1,2,4,16,21,"NoRookie","Win"
"66","HOU","DEN","Not Started",578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"NoRookie","Win"
"69","DEN","HOU","Forward",1265,1,4,1,4,0,0,0,3,0,0,0,1,6,3,-2,"Rookie","Lose"
"70","DEN","HOU","Not Started",653,3,6,1,3,0,0,1,2,0,0,0,0,1,7,-13,"Rookie","Lose"
"71","DEN","HOU","Not Started",225,1,1,0,0,0,0,0,0,0,0,0,1,1,2,-7,"Rookie","Lose"
"72","HOU","DEN","Not Started",190,1,2,1,2,0,0,0,0,1,0,0,2,1,3,4,"Rookie","Win"
"73","HOU","DEN","Not Started",190,1,1,1,1,0,0,0,1,0,0,0,0,0,3,4,"Rookie","Win"
"74","CLE","TOR","Forward",1494,5,12,4,8,0,0,1,3,4,0,1,0,3,14,-17,"NoRookie","Lose"
"75","CLE","TOR","Forward",1818,4,11,1,7,1,1,2,9,2,0,2,3,2,10,-7,"NoRookie","Lose"
"76","CLE","TOR","Center",1914,5,6,0,0,4,5,4,7,0,0,0,2,2,14,-7,"NoRookie","Lose"
"77","CLE","TOR","Not Started",917,1,4,1,3,0,0,0,1,2,1,0,1,2,3,0,"NoRookie","Lose"
"78","CLE","TOR","Not Started",354,0,2,0,0,0,0,0,0,1,1,1,0,0,0,-8,"NoRookie","Lose"
"79","CLE","TOR","Not Started",1194,2,5,0,1,0,0,0,7,2,1,0,2,2,4,-7,"NoRookie","Lose"
"80","CLE","TOR","Not Started",897,1,4,0,2,3,5,0,1,1,0,0,1,1,5,-9,"NoRookie","Lose"
"81","CLE","TOR","Not Started",167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,"NoRookie","Lose"
"84","TOR","CLE","Forward",1324,2,5,1,2,1,2,0,4,4,1,0,0,1,6,6,"NoRookie","Win"
"85","TOR","CLE","Forward",1658,5,9,0,0,4,5,1,4,2,0,0,1,0,14,11,"NoRookie","Win"
"86","TOR","CLE","Center",2009,8,11,2,3,2,2,2,8,2,1,1,3,2,20,11,"NoRookie","Win"
"87","TOR","CLE","Guard",2154,7,16,4,12,6,6,0,1,8,0,1,1,2,24,16,"NoRookie","Win"
"88","TOR","CLE","Guard",1784,4,14,3,8,1,2,1,3,7,0,4,4,5,12,12,"NoRookie","Win"
"89","TOR","CLE","Not Started",1826,5,8,2,3,0,0,1,6,4,1,0,1,2,12,13,"NoRookie","Win"
"90","TOR","CLE","Not Started",117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"NoRookie","Win"
"91","TOR","CLE","Not Started",117,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,"NoRookie","Win"
"92","CLE","TOR","Guard",1893,8,15,1,4,5,5,0,1,1,1,0,2,1,22,-17,"Rookie","Lose"
"93","CLE","TOR","Guard",2053,5,11,2,7,0,0,0,1,4,1,0,1,2,12,-14,"Rookie","Lose"
"94","CLE","TOR","Not Started",1699,6,17,1,6,0,0,1,3,4,0,0,2,4,13,-8,"Rookie","Lose"
"95","TOR","CLE","Not Started",1474,7,12,4,7,1,2,0,4,1,0,0,1,1,19,7,"Rookie","Win"
"96","TOR","CLE","Not Started",871,0,3,0,2,1,2,2,2,0,0,0,0,2,1,9,"Rookie","Win"
"97","TOR","CLE","Not Started",949,1,5,0,1,0,0,3,3,0,2,1,0,0,2,9,"Rookie","Win"
"98","TOR","CLE","Not Started",117,1,1,1,1,2,2,0,0,0,0,0,0,0,5,2,"Rookie","Win"
"99","LAC","SAC","Forward",2276,8,21,1,7,7,7,0,2,7,2,0,2,3,24,12,"NoRookie","Win"
"100","LAC","SAC","Forward",1329,5,6,1,2,1,1,2,5,1,1,0,0,1,12,1,"NoRookie","Win"
"101","LAC","SAC","Center",1378,4,8,0,0,0,0,5,8,0,0,1,2,2,8,11,"NoRookie","Win"
"102","LAC","SAC","Guard",2427,6,25,3,14,6,6,1,10,9,3,0,0,1,21,12,"NoRookie","Win"
"103","LAC","SAC","Not Started",1446,2,9,0,0,3,4,5,1,1,1,0,2,1,7,6,"NoRookie","Win"
"104","LAC","SAC","Not Started",1001,2,4,0,1,0,0,1,4,0,1,0,0,1,4,11,"NoRookie","Win"
"105","LAC","SAC","Not Started",1495,2,5,2,5,0,0,0,3,0,0,1,2,2,6,16,"NoRookie","Win"
"106","LAC","SAC","Not Started",56,0,0,0,0,2,2,0,0,0,0,0,0,1,2,1,"NoRookie","Win"
"108","SAC","LAC","Forward",1901,3,9,1,5,1,4,0,3,3,1,0,1,3,8,-6,"NoRookie","Lose"
"109","SAC","LAC","Forward",1673,3,8,2,5,0,0,0,7,0,1,0,2,5,8,-13,"NoRookie","Lose"
"110","SAC","LAC","Center",1868,8,13,0,0,6,6,5,5,0,1,3,2,1,22,-13,"NoRookie","Lose"
"111","SAC","LAC","Guard",2212,7,17,3,10,3,3,1,5,5,0,0,3,4,20,-9,"NoRookie","Lose"
"112","SAC","LAC","Guard",1891,3,10,1,2,2,4,1,3,6,2,0,1,1,9,-10,"NoRookie","Lose"
"113","SAC","LAC","Not Started",1373,0,2,0,2,0,0,2,0,2,0,0,1,3,0,-10,"NoRookie","Lose"
"114","SAC","LAC","Not Started",1467,3,7,0,2,0,0,0,3,3,0,2,2,4,6,-18,"NoRookie","Lose"
"115","SAC","LAC","Not Started",1012,3,8,0,0,0,0,1,1,1,2,0,3,1,6,-5,"NoRookie","Lose"
"116","SAC","LAC","Not Started",835,3,6,1,2,0,0,0,3,0,1,0,0,1,7,-3,"NoRookie","Lose"
"117","SAC","LAC","Not Started",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,"NoRookie","Lose"
"119","LAC","SAC","Guard",1487,3,5,3,4,0,0,0,2,1,0,0,1,2,9,10,"Rookie","Win"
"120","LAC","SAC","Not Started",1133,4,5,2,3,0,0,0,2,1,0,0,0,2,10,3,"Rookie","Win"
"121","LAC","SAC","Not Started",317,0,0,0,0,2,2,0,0,1,1,0,2,1,2,6,"Rookie","Win"
"122","LAC","SAC","Not Started",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Rookie","Win"
"123","SAC","LAC","Not Started",56,0,0,0,0,1,2,1,0,0,0,0,0,0,1,-1,"Rookie","Lose"
"124","SAC","LAC","Not Started",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,"Rookie","Lose"
"125","PHI","IND","Forward",1438,4,9,1,3,0,0,1,1,2,0,0,0,2,9,-17,"NoRookie","Lose"
"126","PHI","IND","Forward",1745,2,12,1,4,0,0,1,2,2,1,0,0,0,5,-26,"NoRookie","Lose"
"127","PHI","IND","Center",1534,2,5,0,2,0,0,3,7,5,0,2,1,1,4,18,"NoRookie","Lose"
"128","PHI","IND","Guard",1796,7,14,1,6,5,5,0,2,5,2,1,1,1,20,-29,"NoRookie","Lose"
"129","PHI","IND","Guard",1918,6,11,0,0,6,8,1,9,3,0,1,6,2,18,-23,"NoRookie","Lose"
"130","PHI","IND","Not Started",1272,1,4,0,3,2,2,1,3,1,1,0,1,4,4,-13,"NoRookie","Lose"
"131","PHI","IND","Not Started",835,4,7,1,2,0,0,1,0,1,0,0,0,1,9,-10,"NoRookie","Lose"
"132","PHI","IND","Not Started",923,2,8,0,2,0,0,2,1,0,0,0,1,3,4,-3,"NoRookie","Lose"
"133","PHI","IND","Not Started",739,1,3,0,0,0,0,1,2,1,0,1,0,4,2,-14,"NoRookie","Lose"
"134","PHI","IND","Not Started",879,3,7,1,2,1,1,1,0,2,0,0,1,1,8,0,"NoRookie","Lose"
"135","PHI","IND","Not Started",372,3,6,0,2,0,0,1,0,1,0,0,0,1,6,11,"NoRookie","Lose"
"136","IND","PHI","Forward",1802,9,11,2,2,1,2,0,4,2,0,0,0,0,21,17,"NoRookie","Win"
"137","IND","PHI","Forward",1809,10,16,1,3,2,4,1,9,5,1,1,3,2,23,21,"NoRookie","Win"
"138","IND","PHI","Center",1442,5,10,3,5,1,2,0,5,0,0,1,0,0,14,14,"NoRookie","Win"
"139","IND","PHI","Guard",1385,3,8,2,4,5,6,1,2,6,1,0,0,1,13,8,"NoRookie","Win"
"140","IND","PHI","Guard",478,0,5,0,0,0,0,0,0,2,0,0,1,1,0,-2,"NoRookie","Win"
"141","IND","PHI","Not Started",1726,2,5,2,4,4,4,0,1,1,1,1,0,3,10,21,"NoRookie","Win"
"142","IND","PHI","Not Started",1394,5,7,0,2,2,2,0,2,1,0,0,0,2,12,10,"NoRookie","Win"
"143","IND","PHI","Not Started",1634,3,7,0,0,5,6,2,2,10,0,0,2,1,11,5,"NoRookie","Win"
"144","IND","PHI","Not Started",329,0,3,0,1,0,0,0,1,0,0,0,0,1,0,-11,"NoRookie","Win"
"145","IND","PHI","Not Started",101,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"NoRookie","Win"
"147","PHI","IND","Not Started",949,2,5,1,3,3,4,1,6,1,0,1,1,2,8,16,"Rookie","Lose"
"148","IND","PHI","Not Started",1846,2,8,1,2,0,0,1,4,7,0,2,0,5,5,16,"Rookie","Win"
"149","IND","PHI","Not Started",454,3,5,0,2,0,0,0,3,0,0,1,0,0,6,-9,"Rookie","Win"
"150","BOS","CHA","Forward",2096,9,14,3,6,0,0,5,5,6,0,0,2,0,21,12,"NoRookie","Win"
"151","BOS","CHA","Forward",2175,10,18,4,7,0,0,2,5,1,3,1,3,0,24,15,"NoRookie","Win"
"152","BOS","CHA","Guard",1829,3,12,1,7,0,1,1,4,7,1,0,1,4,7,9,"NoRookie","Win"
"153","BOS","CHA","Guard",1840,9,19,3,7,1,1,2,2,7,3,1,1,0,22,5,"NoRookie","Win"
"154","BOS","CHA","Not Started",1355,6,7,0,0,1,2,2,12,2,0,6,0,5,13,15,"NoRookie","Win"
"155","BOS","CHA","Not Started",1269,2,7,1,3,2,2,0,2,1,1,0,2,2,7,13,"NoRookie","Win"
"156","BOS","CHA","Not Started",1240,2,5,2,3,0,0,0,1,1,1,0,0,1,6,8,"NoRookie","Win"
"157","CHA","BOS","Center",963,4,5,0,0,0,0,1,2,1,1,0,1,1,8,-3,"NoRookie","Lose"
"158","CHA","BOS","Guard",2057,4,13,2,5,0,0,0,2,5,0,0,2,2,10,-13,"NoRookie","Lose"
"159","CHA","BOS","Not Started",1064,4,8,0,0,2,2,2,2,1,0,0,0,1,10,-12,"NoRookie","Lose"
"160","CHA","BOS","Not Started",902,1,7,0,4,2,2,0,2,1,0,1,0,1,4,-11,"NoRookie","Lose"
"161","CHA","BOS","Not Started",753,0,2,0,1,0,0,0,3,0,0,0,0,1,0,-13,"NoRookie","Lose"
"162","CHA","BOS","Not Started",1108,4,8,2,4,1,2,0,3,1,1,0,2,2,11,-10,"NoRookie","Lose"
"163","CHA","BOS","Not Started",125,1,4,0,1,0,1,1,1,1,0,0,0,0,2,3,"NoRookie","Lose"
"166","BOS","CHA","Center",1351,2,9,0,2,1,2,2,4,0,2,1,0,2,5,2,"Rookie","Win"
"167","BOS","CHA","Not Started",555,1,3,0,1,0,0,0,3,0,1,0,1,0,2,4,"Rookie","Win"
"168","BOS","CHA","Not Started",550,0,3,0,2,0,0,1,1,0,0,0,0,2,0,3,"Rookie","Win"
"169","BOS","CHA","Not Started",140,0,0,0,0,2,2,0,0,0,0,0,0,0,2,-1,"Rookie","Win"
"170","CHA","BOS","Forward",1934,5,9,1,1,3,3,0,10,4,1,1,2,1,14,-2,"Rookie","Lose"
"171","CHA","BOS","Forward",2151,5,11,3,5,2,4,1,4,3,3,1,5,4,15,-4,"Rookie","Lose"
"172","CHA","BOS","Guard",2265,3,12,3,9,2,2,0,4,7,1,1,3,3,11,-7,"Rookie","Lose"
"173","CHA","BOS","Not Started",1078,3,7,1,4,0,0,3,0,1,0,0,2,0,7,-13,"Rookie","Lose"
"174","PHX","POR","Forward",2399,11,21,7,10,0,0,0,5,2,3,1,0,0,29,17,"NoRookie","Win"
"175","PHX","POR","Forward",1012,1,5,0,2,0,1,1,1,0,0,0,1,0,2,-12,"NoRookie","Win"
"176","PHX","POR","Center",1648,5,11,2,4,0,0,4,5,2,1,0,0,3,12,9,"NoRookie","Win"
"177","PHX","POR","Guard",2276,9,19,0,0,15,15,0,6,7,0,0,2,4,33,3,"NoRookie","Win"
"178","PHX","POR","Guard",2078,7,13,1,2,3,3,0,5,13,1,0,2,3,18,21,"NoRookie","Win"
"182","POR","PHX","Forward",1324,2,4,2,3,0,0,0,4,0,1,0,0,3,6,2,"NoRookie","Lose"
"183","POR","PHX","Forward",2191,4,16,0,2,2,2,1,2,2,0,1,0,3,10,-9,"NoRookie","Lose"
"184","POR","PHX","Center",2221,7,13,0,0,2,2,6,16,3,0,3,2,2,16,8,"NoRookie","Lose"
"185","POR","PHX","Guard",2270,11,21,1,4,2,2,0,2,6,1,0,0,3,25,-20,"NoRookie","Lose"
"186","POR","PHX","Guard",2287,10,20,5,12,8,12,1,4,7,1,0,2,1,33,3,"NoRookie","Lose"
"187","POR","PHX","Not Started",563,1,2,1,2,0,0,1,1,3,1,0,0,1,3,-6,"NoRookie","Lose"
"190","PHX","POR","Not Started",1207,3,9,0,1,0,0,4,8,0,0,0,2,3,6,-1,"Rookie","Win"
"191","PHX","POR","Not Started",547,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-14,"Rookie","Win"
"192","PHX","POR","Not Started",1859,5,10,0,1,3,3,1,2,3,1,1,1,2,13,18,"Rookie","Win"
"193","PHX","POR","Not Started",1082,3,3,3,3,0,0,0,1,0,0,0,1,1,9,-1,"Rookie","Win"
"194","PHX","POR","Not Started",293,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-10,"Rookie","Win"
"195","POR","PHX","Not Started",689,0,1,0,0,0,0,0,1,1,0,0,2,1,0,3,"Rookie","Lose"
"196","POR","PHX","Not Started",1496,5,9,2,5,0,0,1,1,0,0,0,1,3,12,-4,"Rookie","Lose"
"197","POR","PHX","Not Started",1307,4,10,3,6,0,0,0,1,2,1,0,0,2,11,1,"Rookie","Lose"
"198","POR","PHX","Not Started",52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8,"Rookie","Lose"
"199","DET","UTA","Forward",1692,2,3,0,1,0,0,0,2,0,0,1,0,5,4,-24,"NoRookie","Lose"
"200","DET","UTA","Center",2190,5,16,0,0,5,8,3,10,3,5,3,7,5,15,-19,"NoRookie","Lose"
"201","DET","UTA","Guard",1028,3,7,0,0,0,0,1,2,3,1,0,4,1,6,-15,"NoRookie","Lose"
"202","DET","UTA","Not Started",1577,8,17,1,2,3,6,0,0,4,1,1,2,1,20,1,"NoRookie","Lose"
"203","DET","UTA","Not Started",1695,4,9,0,0,2,2,2,7,0,0,0,1,1,10,-7,"NoRookie","Lose"
"204","DET","UTA","Not Started",1158,1,6,0,3,1,1,1,2,2,0,0,0,1,3,1,"NoRookie","Lose"
"205","DET","UTA","Not Started",690,0,1,0,0,2,2,1,1,0,0,0,1,0,2,-4,"NoRookie","Lose"
"207","UTA","DET","Forward",2088,6,15,1,4,4,5,1,3,2,1,0,1,1,17,19,"NoRookie","Win"
"208","UTA","DET","Forward",1474,2,4,1,3,0,0,0,1,1,0,0,1,2,5,12,"NoRookie","Win"
"209","UTA","DET","Center",2088,6,11,0,0,1,1,4,15,1,2,3,4,5,13,19,"NoRookie","Win"
"210","UTA","DET","Guard",1781,4,9,1,4,1,2,0,5,5,0,1,3,0,10,19,"NoRookie","Win"
"211","UTA","DET","Guard",1896,7,15,1,4,8,8,0,3,3,1,0,1,3,23,21,"NoRookie","Win"
"212","UTA","DET","Not Started",1152,2,6,1,1,0,0,0,2,3,0,0,3,0,5,1,"NoRookie","Win"
"213","UTA","DET","Not Started",811,1,1,1,1,0,0,0,0,0,0,0,0,3,3,-2,"NoRookie","Win"
"214","UTA","DET","Not Started",1609,7,13,4,7,2,2,0,1,2,1,0,0,2,20,11,"NoRookie","Win"
"215","UTA","DET","Not Started",792,3,6,0,0,0,0,3,4,0,1,1,0,4,6,4,"NoRookie","Win"
"217","DET","UTA","Forward",1901,6,13,3,7,0,0,1,2,0,1,0,0,2,15,-18,"Rookie","Lose"
"218","DET","UTA","Guard",2201,1,6,0,1,4,4,1,7,2,2,0,2,3,6,-25,"Rookie","Lose"
"219","DET","UTA","Not Started",149,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-2,"Rookie","Lose"
"220","DET","UTA","Not Started",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,"Rookie","Lose"
"221","UTA","DET","Not Started",412,0,1,0,1,0,0,0,1,1,0,1,0,1,0,6,"Rookie","Win"
"222","UTA","DET","Not Started",149,1,2,0,1,0,2,0,1,0,0,0,0,0,2,2,"Rookie","Win"
"223","UTA","DET","Not Started",148,0,0,0,0,0,0,1,1,2,1,0,1,0,0,3,"Rookie","Win"
"224","BKN","MIN","Forward",2440,8,14,3,6,0,0,1,6,1,0,0,0,1,19,-3,"NoRookie","Lose"
"225","BKN","MIN","Forward",2089,3,13,2,7,3,3,2,12,0,2,1,3,2,11,-14,"NoRookie","Lose"
"226","BKN","MIN","Center",1571,2,4,0,0,2,3,1,4,1,0,1,3,5,6,-10,"NoRookie","Lose"
"227","BKN","MIN","Guard",2434,3,16,1,7,4,4,0,4,5,0,1,2,4,11,-10,"NoRookie","Lose"
"228","BKN","MIN","Guard",2390,12,31,3,9,9,13,1,4,8,1,0,4,3,36,-4,"NoRookie","Lose"
"229","BKN","MIN","Not Started",1199,4,7,3,5,0,0,1,4,0,1,0,2,3,11,3,"NoRookie","Lose"
"230","BKN","MIN","Not Started",1512,5,9,3,6,0,0,0,5,0,0,0,1,2,13,1,"NoRookie","Lose"
"231","BKN","MIN","Not Started",1522,2,3,0,0,2,4,1,12,3,0,3,1,3,6,6,"NoRookie","Lose"
"233","MIN","BKN","Forward",2118,4,8,3,6,3,5,1,6,0,1,2,2,5,14,12,"NoRookie","Win"
"234","MIN","BKN","Center",1964,4,11,1,3,2,2,6,14,2,3,1,1,6,11,4,"NoRookie","Win"
"235","MIN","BKN","Guard",2060,8,18,3,6,5,7,0,3,8,2,0,4,1,24,4,"NoRookie","Win"
"236","MIN","BKN","Not Started",1203,3,7,1,1,2,2,0,3,4,0,0,3,1,9,-1,"NoRookie","Win"
"237","MIN","BKN","Not Started",261,1,2,1,1,0,0,0,0,0,0,0,1,0,3,0,"NoRookie","Win"
"240","BKN","MIN","Not Started",743,1,2,0,1,0,0,0,0,4,0,0,0,2,2,-4,"Rookie","Lose"
"243","MIN","BKN","Forward",2089,4,8,1,4,0,0,0,9,0,0,1,0,3,9,11,"Rookie","Win"
"244","MIN","BKN","Guard",2299,8,21,3,8,2,4,1,4,3,3,1,0,2,21,7,"Rookie","Win"
"245","MIN","BKN","Not Started",1194,5,16,3,10,0,0,1,3,1,1,1,2,3,13,4,"Rookie","Win"
"246","MIN","BKN","Not Started",1091,1,5,0,2,1,2,0,2,1,0,0,0,0,3,-6,"Rookie","Win"
"247","MIN","BKN","Not Started",1622,4,8,1,3,6,7,2,5,1,2,2,1,1,15,0,"Rookie","Win"
"248","MIL","CHI","Forward",1897,9,19,1,5,6,7,0,6,4,1,1,4,3,25,11,"NoRookie","Win"
"249","MIL","CHI","Forward",1642,8,14,1,3,6,6,1,9,6,0,0,2,3,23,11,"NoRookie","Win"
"250","MIL","CHI","Center",1596,5,9,1,4,0,0,2,2,1,1,2,0,3,11,14,"NoRookie","Win"
"251","MIL","CHI","Guard",977,5,8,1,2,4,5,0,3,3,4,0,3,1,15,26,"NoRookie","Win"
"252","MIL","CHI","Not Started",1588,3,4,2,2,0,0,2,7,2,0,2,2,3,8,2,"NoRookie","Win"
"253","MIL","CHI","Not Started",1151,5,8,1,3,3,4,1,10,2,0,0,1,0,14,8,"NoRookie","Win"
"254","MIL","CHI","Not Started",1209,2,3,1,2,0,0,1,1,3,0,0,1,2,5,12,"NoRookie","Win"
"255","MIL","CHI","Not Started",1290,3,4,3,4,0,0,0,3,2,0,0,1,1,9,6,"NoRookie","Win"
"256","MIL","CHI","Not Started",1210,5,8,0,2,1,2,2,4,2,0,4,1,0,11,6,"NoRookie","Win"
"257","MIL","CHI","Not Started",161,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,"NoRookie","Win"
"258","MIL","CHI","Not Started",161,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,"NoRookie","Win"
"260","CHI","MIL","Forward",1148,1,6,0,2,2,2,0,2,2,1,0,2,2,4,-21,"NoRookie","Lose"
"261","CHI","MIL","Forward",1645,6,12,5,9,1,2,2,4,0,1,0,1,3,18,-9,"NoRookie","Lose"
